file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#CodeSnippetParsingUtil.java,org.eclipse.jdt.internal.core.util.codesnippetparsingutil,class,26,24,1,18,21,10,0,9,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,179,9,1,5,0,1,4,18,46,5,34,2,0,0,0,45,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#CommentRecorderParser.java,org.eclipse.jdt.internal.core.util.commentrecorderparser,class,7,47,2,15,0,13,0,7,1,5,0,0,0,0,4,1,0,0,1,0,1,0,0,176,5,5,6,0,6,0,75,54,18,22,3,0,0,0,55,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ConstantPool.java,org.eclipse.jdt.internal.core.util.constantpool,class,8,16,2,34,0,5,0,3,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,81,4,0,0,0,0,0,24,12,2,11,0,0,0,0,31,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ConstantPoolEntry.java,org.eclipse.jdt.internal.core.util.constantpoolentry,class,4,44,1,0,732,44,0,44,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,193,22,0,0,0,0,0,24,59,1,20,0,0,0,0,77,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ConstantValueAttribute.java,org.eclipse.jdt.internal.core.util.constantvalueattribute,class,6,3,3,2,0,3,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,1,2,0,2,0,0,0,0,14,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#DefaultBytecodeVisitor.java,org.eclipse.jdt.internal.core.util.defaultbytecodevisitor,class,14,269,1,46,0,218,0,207,11,0,0,0,0,0,20,10,0,20,0,0,10,0,75,1700,15,7,5,0,4,9,93,46,45,51,4,0,0,0,244,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#DefaultStackMapFrame.java,org.eclipse.jdt.internal.core.util.defaultstackmapframe,class,6,12,2,2,16,8,0,7,0,0,0,0,0,0,7,1,0,7,0,0,1,0,0,67,7,2,0,0,0,0,10,20,2,13,2,0,0,0,33,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#Disassembler.java,org.eclipse.jdt.internal.core.util.disassembler,class,57,389,2,128,2145,66,4,6,58,0,0,0,5,0,2,2,0,2,0,0,2,0,35,1997,36,41,32,1,24,68,206,270,56,219,6,0,0,0,217,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#DOMFinder.java,org.eclipse.jdt.internal.core.util.domfinder,class,28,53,2,14,0,18,0,17,0,1,0,0,0,0,6,0,2,4,0,0,0,0,0,147,19,0,3,0,5,0,2,31,0,10,1,0,0,0,44,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#EnclosingMethodAttribute.java,org.eclipse.jdt.internal.core.util.enclosingmethodattribute,class,9,13,3,7,14,8,0,7,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,65,7,0,0,0,0,0,3,12,0,9,2,0,0,0,26,1
