file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\SwitchStatement.java,1.67,2006-04-03,86813,R3_2,2006-06-29,2006-04-13,-77 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\UnaryExpression.java,1.45,2006-04-03,86813,R3_2,2006-06-29,2006-04-13,-77 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\BranchLabel.java,1.4,2006-04-03,86813,R3_2,2006-06-29,2006-04-13,-77 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\StackMapFrameCodeStream.java,1.7,2006-04-03,86813,R3_2,2006-06-29,2006-04-13,-77 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Annotation.java,1.54,2006-05-10,140318,R3_2_1,2006-09-28,2006-05-11,-140 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Annotation.java,1.54,2006-05-10,140318,R3_2,2006-06-29,2006-05-11,-49 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Argument.java,1.50,2005-11-18,61946,R3_2,2006-06-29,2006-01-10,-170 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocQualifiedTypeReference.java,1.15,2005-11-18,61946,R3_2,2006-06-29,2006-01-10,-170 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocSingleTypeReference.java,1.17,2005-11-18,61946,R3_2,2006-06-29,2006-01-10,-170 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\CaseStatement.java,1.25.4.2,2006-09-04,156108,R3_2_2,2007-03-01,2006-09-18,-164 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ReturnStatement.java,1.52.4.2,2006-09-04,156108,R3_2_2,2007-03-01,2006-09-18,-164 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\CaseStatement.java,1.25.4.2,2006-09-04,156108,R3_2_1,2006-09-28,2006-09-18,-10 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ReturnStatement.java,1.52.4.2,2006-09-04,156108,R3_2_1,2006-09-28,2006-09-18,-10 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\CastExpression.java,1.101.2.2,2006-10-11,159654,R3_2_2,2007-03-01,2007-01-16,-44 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ConstructorDeclaration.java,1.80.4.2,2006-08-31,155423,R3_2_2,2007-03-01,2006-09-18,-164 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TypeDeclaration.java,1.124.4.2,2006-08-31,155423,R3_2_2,2007-03-01,2006-09-18,-164 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ConstructorDeclaration.java,1.80.4.2,2006-08-31,155423,R3_2_1,2006-09-28,2006-09-18,-10 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TypeDeclaration.java,1.124.4.2,2006-08-31,155423,R3_2_1,2006-09-28,2006-09-18,-10 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\DoStatement.java,1.52,2006-04-10,135602,R3_2_1,2006-09-28,2006-04-13,-168 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\DoStatement.java,1.52,2006-04-10,135602,R3_2,2006-06-29,2006-04-13,-77 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\IntLiteral.java,1.21,2006-03-29,133738,R3_2,2006-06-29,2006-03-30,-91 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\LongLiteral.java,1.21,2006-03-29,133738,R3_2,2006-06-29,2006-03-30,-91 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MemberValuePair.java,1.22.4.4,2006-12-08,167217,R3_2_2,2007-03-01,2007-01-16,-44 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MethodDeclaration.java,1.55.4.1,2006-10-19,141931,R3_2_2,2007-03-01,2007-01-15,-45 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\QualifiedAllocationExpression.java,1.77,2006-05-10,127766,R3_2_1,2006-09-28,2006-05-11,-140 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\QualifiedAllocationExpression.java,1.77,2006-05-10,127766,R3_2,2006-06-29,2006-05-11,-49 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\QualifiedNameReference.java,1.106.4.4,2006-11-23,165291,R3_2_2,2007-03-01,2007-01-15,-45 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\SingleNameReference.java,1.89.4.4,2006-11-23,165291,R3_2_2,2007-03-01,2007-01-15,-45 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TryStatement.java,1.99.4.2,2006-09-01,155887,R3_2_2,2007-03-01,2006-09-18,-164 days +00:00:00.000000000
