file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.platform\src-intro\org\eclipse\platform\internal\LaunchUpdateIntroAction.java,1.1,2005-06-21,100654,R3_1,2005-06-28,2005-10-03,97 days 00:00:00.000000000
org.eclipse.platform\src-intro\org\eclipse\platform\internal\LaunchUpdateIntroAction.java,1.1,2005-06-21,100654,R3_1_1,2005-09-28,2005-10-03,5 days 00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.3,2005-05-26,85269,R3_1,2005-06-28,2005-10-03,97 days 00:00:00.000000000
