file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\index\DiskIndex.java,1.49.4.3,2007-01-25,171653,R3_2_2,2007-03-01,2007-04-13,43 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\BinaryTypeBinding.java,1.95.4.2,2006-09-06,153874,R3_2_1,2006-09-28,2007-02-08,133 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\Scope.java,1.279.2.4,2006-09-06,153874,R3_2_1,2006-09-28,2007-02-08,133 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\BinaryMember.java,1.22,2005-04-14,90392,R3_1_2,2006-01-25,2006-04-05,70 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ClassFile.java,1.107,2005-04-10,90392,R3_1_2,2006-01-25,2006-04-05,70 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\HierarchyBuilder.java,1.57,2005-04-11,90392,R3_1_2,2006-01-25,2006-04-05,70 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\LocalVariableLocator.java,1.16,2005-04-11,90392,R3_1_2,2006-01-25,2006-04-05,70 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\FieldDeclaration.java,1.43,2004-04-21,51075,R3_0_1,2004-09-16,2004-11-22,67 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\FieldDeclaration.java,1.43,2004-04-21,51075,R3_0,2004-06-25,2004-11-22,150 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Javadoc.java,1.17,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocMessageSend.java,1.11,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\BlockScope.java,1.77,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\MethodScope.java,1.36,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ProblemFieldBinding.java,1.9,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\ProblemReporter.java,1.143,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
