file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalProject.java,1,1,1,1,0,0,1,5,5,1,0,0,0,1,179,38.0,0.0,1.0,0.0,5.0,0.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\NullInputHandler.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,33,33.0,0.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\ProgressBuildListener.java,2,8,12,2,0,0,2,20,28,2,0,0,0,2,295,0.0,10.0,6.0,0.0,14.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor Content Assist Dev\TaskXMLFileMerger.java,1,3,3,1,16,16,1,11,11,1,1,1,0,1,336,0.0,32.0,3.0,16.0,11.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\AntDTDMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IAtom.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IAttribute.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IDfm.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IElement.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IModel.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\ISchema.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\ParseError.java,1,0,0,1,0,0,1,0,0,1,0,0,0,1,25,0.0,0.0,0.0,0.0,0.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\Parser.java,3,2,4,3,3,3,3,9,12,3,0,0,0,3,200,0.0,0.0,1.3333333333333333,1.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\AntDTDSchemaMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Atom.java,1,2,2,1,0,0,1,2,2,1,0,0,0,1,36,0.0,0.0,2.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Attribute.java,1,6,6,1,0,0,1,11,11,1,0,0,0,1,114,0.0,0.0,6.0,0.0,11.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Dfm.java,1,5,5,1,2,2,1,12,12,1,4,4,0,1,170,0.0,0.0,5.0,2.0,12.0,4.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Element.java,1,7,7,1,1,1,1,15,15,1,0,0,0,1,179,0.0,0.0,7.0,1.0,15.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Model.java,1,8,8,1,2,2,1,18,18,1,0,0,0,1,247,0.0,0.0,8.0,2.0,18.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Nfm.java,1,3,3,1,1,1,1,4,4,1,13,13,0,1,289,0.0,0.0,3.0,1.0,4.0,13.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\NfmNode.java,1,6,6,1,2,2,1,2,2,1,6,6,0,1,113,0.0,0.0,6.0,2.0,2.0,6.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\NfmParser.java,2,3,6,2,0,0,2,10,12,2,2,2,0,2,356,0.0,0.0,3.0,0.0,6.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Schema.java,1,2,2,1,0,0,1,5,5,1,0,0,0,1,67,0.0,0.0,2.0,0.0,5.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\SchemaFactory.java,1,6,6,1,1,1,1,14,14,1,0,0,0,1,285,0.0,0.0,6.0,1.0,14.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\AntDTDUtilMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\Factory.java,2,2,3,2,0,0,2,3,3,2,0,0,0,2,68,0.0,0.0,1.5,0.0,1.5,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\FactoryObject.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IKeyHolder.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IMapHolder.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IValueHolder.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\MapHolder.java,1,2,2,1,0,0,1,4,4,1,0,0,0,1,48,0.0,0.0,2.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMap.java,2,4,5,2,0,0,2,25,28,2,0,0,0,2,268,0.0,0.0,2.5,0.0,14.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMapFactory.java,3,0,0,3,3,3,3,2,4,3,5,5,0,3,66,0.0,0.0,0.0,1.0,1.3333333333333333,1.6666666666666667
