file,num_of_anony,num_of_interface,num_of_class,line_of_code
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\FactoryObject.java,??,1,0,22
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IKeyHolder.java,??,1,0,21
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IMapHolder.java,??,1,0,18
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IValueHolder.java,??,1,0,21
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\MapHolder.java,??,0,1,48
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMap.java,??,0,2,268
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMapFactory.java,??,0,3,66
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedSet.java,??,0,1,260
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AbstractAntSourceViewerConfiguration.java,??,0,1,178
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntAutoIndentStrategy.java,??,0,1,314
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntCompletionProposal.java,??,0,1,193
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditor.java,??,0,4,828
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorActionContributor.java,??,0,1,129
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorCompletionProcessor.java,??,0,1,1557
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorMessages.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorSourceViewerConfiguration.java,??,0,1,227
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTML2TextReader.java,??,0,1,295
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTMLPrinter.java,??,0,1,118
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTMLTextPresenter.java,??,0,1,189
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\LineBreakingReader.java,??,0,1,114
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\SingleCharReader.java,??,0,1,63
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\SubstitutionTextReader.java,??,0,1,152
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\FormattingPreferences.java,??,0,1,74
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlDocumentFormatter.java,??,0,8,523
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlDocumentFormattingStrategy.java,??,0,1,81
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlElementFormattingStrategy.java,??,0,1,110
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlFormatter.java,??,0,1,288
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlTagFormatter.java,??,0,7,457
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntDefiningTaskNode.java,??,0,1,105
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntElementNode.java,??,0,1,580
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntImportNode.java,??,0,1,84
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntModelMessages.java,??,0,1,34
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntProjectNode.java,??,0,1,100
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntPropertyNode.java,??,0,1,77
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntTargetNode.java,??,0,1,111
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntTaskNode.java,??,0,1,128
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\IAntModelConstants.java,??,1,0,35
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\OpenDeclarationAction.java,??,0,1,54
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntEditorContentOutlinePage.java,??,0,8,670
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntEditorMarkerUpdater.java,??,0,2,183
