fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\NameEnvironment.java,1,0,281,0,0,0,12,6,219,119,18.25,13,6,1.08,20,4,1.67,81,41,6.75,77,41,6.42
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\DeclarationOfReferencedTypesPattern.java,1,0,13,0,0,0,1,2,6,6,6.0,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ContinueStatement.java,1,0,72,0,1,2,12,3,56,12,4.67,3,2,0.25,11,3,0.92,16,3,1.33,22,7,1.83
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\rewrite\ListRewrite.java,1,0,148,0,0,0,21,3,130,14,6.19,11,1,0.52,39,5,1.86,41,4,1.95,47,9,2.24
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\MemberDeclarationVisitor.java,1,0,236,0,0,0,20,14,224,58,11.2,23,4,1.15,38,4,1.9,63,15,3.15,17,5,0.85
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\NameReference.java,1,0,34,0,0,0,9,2,28,6,3.11,0,1,0.0,3,1,0.33,11,2,1.22,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\TypeBinding.java,1,0,873,0,1,10,60,12,786,153,13.1,21,4,0.35,27,4,0.45,345,56,5.75,95,15,1.58
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\jdom\IDOMInitializer.java,0,1,7,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,2,1,0.5,4,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnJavadocFieldReference.java,1,0,101,0,0,0,11,2,91,34,8.27,3,2,0.27,14,5,1.27,24,11,2.18,11,7,1.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTParser.java,1,0,489,0,1,4,24,19,430,125,17.92,24,5,1.0,33,5,1.38,100,30,4.17,83,27,3.46
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\INamingRequestor.java,0,1,7,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,12,4,3.0,4,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameResourceElementsOperation.java,1,0,31,0,0,0,4,0,24,14,6.0,2,2,0.5,5,4,1.25,9,6,2.25,7,6,1.75
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\ClassFileAttribute.java,1,0,30,0,0,1,4,4,18,9,4.5,1,1,0.25,3,3,0.75,5,2,1.25,5,5,1.25
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\LocalVariableAttribute.java,1,0,37,0,0,1,3,3,22,16,7.33,2,2,0.67,3,3,1.0,5,3,1.67,1,1,0.33
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\VariableDeclarationExpression.java,1,0,177,0,1,6,19,10,140,15,7.37,18,3,0.95,17,3,0.89,40,4,2.11,48,12,2.53
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistParser.java,1,0,1376,0,0,12,101,26,1262,159,12.5,60,4,0.59,69,5,0.68,335,39,3.32,233,10,2.31
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DiscardWorkingCopyOperation.java,1,0,44,0,0,0,4,0,39,30,9.75,3,3,0.75,1,1,0.25,8,5,2.0,18,17,4.5
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Javadoc.java,1,0,132,0,1,5,14,7,106,35,7.57,10,3,0.71,12,3,0.86,27,7,1.93,30,8,2.14
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\CascadingMethodInvocationFragmentBuilder.java,1,0,36,0,0,0,4,1,27,16,6.75,2,2,0.5,2,2,0.5,7,4,1.75,5,2,1.25
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,1,0,10792,10,10,48,208,101,7999,294,38.46,542,11,2.61,840,21,4.04,2651,98,12.75,2310,83,11.11
