fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\NullInfoRegistry.java,1,0,292,0,0,0,8,0,256,41,32.0,34,5,4.25,7,1,0.88,86,14,10.75,7,2,0.88
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\AdditionalTypeCollection.java,1,0,8,0,0,0,1,1,4,4,4.0,0,0,0.0,3,3,3.0,1,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ParameterizedQualifiedTypeReference.java,1,0,315,0,0,0,12,1,293,159,24.42,22,6,1.83,21,4,1.75,101,61,8.42,63,36,5.25
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IParameterAnnotation.java,0,1,5,0,0,0,2,0,2,1,1.0,-2,-1,-1.0,0,0,0.0,2,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IBytecodeVisitor.java,0,1,265,0,0,0,205,0,205,1,1.0,-205,-1,-1.0,287,5,1.4,205,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\select\SelectionOnQualifiedNameReference.java,1,0,50,0,0,0,3,0,33,22,11.0,4,3,1.33,6,3,2.0,14,10,4.67,11,7,3.67
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\indexing\AddJarFileToIndex.java,1,0,196,0,0,1,8,2,152,123,19.0,7,6,0.88,6,2,0.75,54,41,6.75,38,32,4.75
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\FlowInfo.java,1,0,115,0,3,7,41,8,84,23,2.05,-29,2,-0.71,34,5,0.83,48,7,1.17,13,5,0.32
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\CaseStatement.java,1,0,106,0,0,0,7,2,81,40,11.57,9,4,1.29,16,3,2.29,38,24,5.43,32,19,4.57
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\util\HashSetOfInt.java,1,0,96,0,0,0,9,3,82,18,9.11,7,2,0.78,4,1,0.44,25,5,2.78,8,3,0.89
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\SuperTypeNamesCollector.java,1,0,231,1,0,0,8,8,145,62,18.13,9,4,1.13,12,6,1.5,46,20,5.75,44,18,5.5
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\UserLibraryManager.java,1,0,140,0,0,1,7,2,126,45,18.0,11,5,1.57,7,3,1.0,28,12,4.0,45,17,6.43
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\AssertStatement.java,1,0,158,0,0,0,8,3,136,34,17.0,12,3,1.5,17,3,2.13,41,13,5.13,50,18,6.25
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\OR_OR_Expression.java,1,0,205,0,0,0,6,2,194,93,32.33,10,4,1.67,16,5,2.67,46,20,7.67,44,17,7.33
eclipse-sourceBuild-srcIncluded-3.4\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\env\IBinaryType.java,0,1,24,0,0,0,16,4,16,1,1.0,-16,-1,-1.0,0,0,0.0,16,1,1.0,0,0,0.0
