file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\FieldDeclaration.java,1.43,2004-04-21,51075,R3_0,2004-06-25,2004-11-22,150 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Javadoc.java,1.17,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocMessageSend.java,1.11,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\BlockScope.java,1.77,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\MethodScope.java,1.36,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ProblemFieldBinding.java,1.9,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\ProblemReporter.java,1.143,2004-06-08,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\CodeSnippetScope.java,1.29,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core.tests.compiler\src\org\eclipse\jdt\core\tests\compiler\regression\Compliance_1_3.java,1.42,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\DefaultProblemFactory.java,1.36,2004-04-26,51911,R3_0,2004-06-25,2004-07-29,34 days 00:00:00.000000000
eclipse\org.eclipse.jdt.core.tests.model\src\org\eclipse\jdt\core\tests\model\OptionTests.java,1.6,2004-01-21,49691,R3_0,2004-06-25,2004-08-19,55 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\javaeditor\ClipboardOperationAction.java,1.6,2004-06-09,65975,R3_0_1,2004-09-16,2004-12-10,85 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\javaeditor\ClipboardOperationAction.java,1.6,2004-06-09,65975,R3_0,2004-06-25,2004-12-10,168 days 00:00:00.000000000
