file,bugID
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,22358
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,9912
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileFinder.java,160962
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileFinder.java,154111
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,160962
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,154111
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,50025
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,22358
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,310330
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,291528
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,295551
