fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.ast.MessageSend,1,0,342,0,0,0,15,12,306,126,20.4,21,4,1.4,21,3,1.4,128,53,8.53,99,34,6.6
org.eclipse.jdt.internal.compiler.ast.PostfixExpression,1,0,43,0,0,0,6,0,34,9,5.67,2,1,0.33,11,4,1.83,10,3,1.67,10,4,1.67
org.eclipse.jdt.core.CheckDebugAttributes,1,0,62,0,0,0,4,2,50,34,12.5,6,4,1.5,3,1,0.75,15,9,3.75,15,12,3.75
org.eclipse.jdt.internal.compiler.ast.Annotation,1,0,328,0,2,1,9,4,301,139,33.44,16,7,1.78,16,4,1.78,137,63,15.22,41,23,4.56
org.eclipse.jdt.internal.compiler.ast.ParameterizedSingleTypeReference,1,0,192,0,0,0,12,2,178,83,14.83,13,3,1.08,21,4,1.75,59,31,4.92,52,30,4.33
org.eclipse.jdt.core.compiler.IProblem,0,1,516,0,0,0,12,500,12,1,1.0,-12,-1,-1.0,3,1,0.25,12,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.ast.TypeDeclaration,1,0,969,0,0,1,40,28,838,108,20.95,71,5,1.78,51,3,1.27,300,48,7.5,201,29,5.03
org.eclipse.jdt.internal.core.builder.State,1,0,505,0,4,6,27,17,436,153,16.15,19,5,0.7,34,5,1.26,137,41,5.07,105,27,3.89
org.eclipse.jdt.internal.compiler.env.ICompilationUnit,0,1,6,0,0,0,3,0,3,1,1.0,-3,-1,-1.0,0,0,0.0,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.util.FloatUtil,1,0,272,0,3,14,3,14,266,258,88.67,3,3,1.0,3,1,1.0,80,78,26.67,6,2,2.0
org.eclipse.core.launcher.WebStartMain,1,0,145,0,1,3,13,5,121,24,9.31,9,2,0.69,11,2,0.85,36,7,2.77,65,10,5.0
org.eclipse.jdt.core.dom.TryStatement,1,0,127,0,1,4,16,7,99,21,6.19,8,3,0.5,13,3,0.81,27,5,1.69,40,13,2.5
org.eclipse.jdt.internal.core.builder.BuildNotifier,1,0,202,0,1,4,16,15,163,44,10.19,11,5,0.69,12,2,0.75,68,20,4.25,40,8,2.5
org.eclipse.jdt.internal.core.util.RuntimeVisibleParameterAnnotationsAttribute,1,0,38,0,0,1,3,3,23,17,7.67,2,2,0.67,3,3,1.0,5,3,1.67,2,2,0.67
org.eclipse.jdt.internal.compiler.env.AccessRestriction,1,0,15,0,0,0,3,2,10,4,3.33,0,0,0.0,2,2,0.67,3,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.SimpleType,1,0,83,0,1,2,12,3,67,12,5.58,7,3,0.58,11,3,0.92,19,3,1.58,22,6,1.83
org.eclipse.jdt.internal.compiler.classfmt.InnerClassInfo,1,0,88,0,0,0,8,11,70,15,8.75,8,2,1.0,3,3,0.38,18,4,2.25,20,6,2.5
org.eclipse.jdt.internal.core.CompilationUnitStructureRequestor,1,0,323,0,1,2,21,15,282,53,13.43,16,3,0.76,33,5,1.57,56,12,2.67,114,21,5.43
org.eclipse.jdt.internal.compiler.impl.ReferenceContext,0,1,9,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,2,2,0.5,4,1,1.0,0,0,0.0
org.eclipse.jdt.core.ClasspathVariableInitializer,1,0,6,0,0,0,2,0,3,2,1.5,-1,0,-0.5,1,1,0.5,2,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.BinaryMember,1,0,67,0,0,0,12,0,61,11,5.08,3,1,0.25,21,5,1.75,18,4,1.5,18,7,1.5
org.eclipse.jdt.core.dom.rewrite.ITrackedNodePosition,0,1,5,0,0,0,2,0,2,1,1.0,-2,-1,-1.0,0,0,0.0,2,1,1.0,0,0,0.0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnAnnotationMemberValuePair,1,0,39,0,0,0,3,1,31,17,10.33,4,3,1.33,7,4,2.33,8,4,2.67,5,3,1.67
org.eclipse.jdt.internal.compiler.problem.AbortCompilation,1,0,46,0,0,1,6,6,33,8,5.5,0,0,0.0,10,2,1.67,12,4,2.0,16,8,2.67
org.eclipse.jdt.core.IAccessRule,0,1,9,0,0,0,2,3,2,1,1.0,-2,-1,-1.0,0,0,0.0,2,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.search.matching.TypeReferenceLocator,1,0,538,0,0,0,24,2,494,66,20.58,38,5,1.58,60,5,2.5,190,20,7.92,121,20,5.04
org.eclipse.jdt.internal.core.dom.rewrite.ASTRewriteFormatter,1,0,435,1,5,3,14,27,259,95,18.5,16,4,1.14,30,5,2.14,66,30,4.71,45,10,3.21
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldName,1,0,26,0,0,1,3,2,18,10,6.0,1,1,0.33,6,3,2.0,5,3,1.67,8,6,2.67
org.eclipse.jdt.internal.compiler.ast.ImportReference,1,0,54,0,0,0,6,9,35,10,5.83,2,1,0.33,11,4,1.83,12,5,2.0,7,3,1.17
org.eclipse.jdt.internal.core.search.indexing.SourceIndexer,1,0,53,0,0,0,2,1,32,29,16.0,2,2,1.0,1,1,0.5,7,6,3.5,12,12,6.0
org.eclipse.jdt.core.JavaCore,1,0,1081,6,66,153,70,153,681,112,9.73,44,6,0.63,123,6,1.76,197,24,2.81,214,23,3.06
org.eclipse.jdt.internal.compiler.ast.JavadocArrayQualifiedTypeReference,1,0,25,0,0,0,5,1,17,4,3.4,0,0,0.0,8,2,1.6,5,1,1.0,10,3,2.0
