NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,87,0,0,0,10,5,70,31,8,6,9,3,23,9,22,12,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\ClasspathSourceDirectory.java,0.0,0.0,7.0,0.8,0.9,2.3,2.2
1,0,238,0,1,4,10,15,194,83,5,3,22,8,57,22,22,7,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\SuperTypeReferencePattern.java,18.0,3.0,19.4,0.5,2.2,5.7,2.2
1,0,151,0,0,0,5,4,134,104,10,5,12,4,52,43,32,23,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MemberValuePair.java,57.0,0.0,26.8,2.0,2.4,10.4,6.4
1,0,414,0,0,2,27,6,336,90,27,7,30,5,121,33,55,14,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\FlowContext.java,0.0,21.0,12.444444444444445,1.0,1.1111111111111112,4.481481481481482,2.037037037037037
1,0,139,0,1,3,15,4,122,36,6,2,13,3,32,11,28,7,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\SimpleName.java,0.0,0.0,8.133333333333333,0.4,0.8666666666666667,2.1333333333333333,1.8666666666666667
0,1,9,0,0,0,6,0,6,1,-6,-1,3,1,6,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\jdom\IDOMField.java,0.0,0.0,1.0,-1.0,0.5,1.0,0.0
1,0,604,0,0,0,19,2,615,229,28,4,26,6,173,103,116,14,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\DocCommentParser.java,0.0,13.0,32.36842105263158,1.4736842105263157,1.368421052631579,9.105263157894736,6.105263157894737
1,0,1170,0,14,10,23,11,1018,330,27,5,50,7,337,109,95,30,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\core\search\SearchPattern.java,8.0,13.0,44.26086956521739,1.173913043478261,2.1739130434782608,14.652173913043478,4.130434782608695
1,0,57,0,0,1,10,4,45,13,1,1,6,2,16,4,7,4,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\PackageReferencePattern.java,0.0,3.0,4.5,0.1,0.6,1.6,0.7
1,0,179,1,8,5,9,5,145,41,17,5,19,5,36,9,51,15,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\UserLibraryManager.java,0.0,0.0,16.11111111111111,1.8888888888888888,2.111111111111111,4.0,5.666666666666667
1,0,34,0,0,2,4,4,23,12,1,1,11,5,5,2,3,3,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnBrankStatementLabel.java,0.0,0.0,5.75,0.25,2.75,1.25,0.75
0,1,21,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IModifierConstants.java,0.0,0.0,,,,,
1,0,174,0,0,1,22,6,153,32,9,2,12,4,59,15,39,8,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ArrayBinding.java,8.0,13.0,6.954545454545454,0.4090909090909091,0.5454545454545454,2.6818181818181817,1.7727272727272727
0,1,17,0,0,0,7,5,7,1,-7,-1,4,1,7,1,0,0,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\core\search\IJavaSearchScope.java,0.0,0.0,1.0,-1.0,0.5714285714285714,1.0,0.0
1,0,567,0,0,7,12,23,461,170,25,5,16,3,116,38,88,24,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TryStatement.java,12.0,11.0,38.416666666666664,2.0833333333333335,1.3333333333333333,9.666666666666666,7.333333333333333
1,0,71,0,0,0,6,3,55,23,5,3,14,6,20,9,23,11,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\InternalSearchPattern.java,0.0,0.0,9.166666666666666,0.8333333333333334,2.3333333333333335,3.3333333333333335,3.8333333333333335
1,0,191,0,1,6,21,9,160,48,12,3,14,3,43,11,61,16,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\AnnotationTypeMemberDeclaration.java,21.0,0.0,7.619047619047619,0.5714285714285714,0.6666666666666666,2.0476190476190474,2.9047619047619047
1,0,81,0,0,0,11,2,70,35,1,1,17,4,21,10,10,3,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\StringLiteral.java,0.0,0.0,6.363636363636363,0.09090909090909091,1.5454545454545454,1.9090909090909092,0.9090909090909091
1,0,76,0,0,0,8,1,66,21,6,3,10,5,28,9,10,3,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\SuperTypeReferenceLocator.java,0.0,0.0,8.25,0.75,1.25,3.5,1.25
0,1,5,0,0,0,2,0,2,1,-2,-1,0,0,2,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\ILineNumberAttribute.java,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
