file,num_of_anony,num_of_interface,num_of_class,line_of_code
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\Entities.java,??,0,1,365
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserConstants.java,??,1,0,73
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserTokenManager.java,??,0,1,1426
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\ParseException.java,??,0,1,192
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\ParserThread.java,??,0,1,95
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\SimpleCharStream.java,??,0,1,401
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\Token.java,??,0,1,81
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\TokenMgrError.java,??,0,1,133
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePlugin.java,??,0,1,207
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePreferences.java,??,0,1,960
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntRunner.java,??,0,1,533
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntSecurityException.java,??,0,1,22
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\ProjectInfo.java,??,0,1,55
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Property.java,??,0,1,89
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\TargetInfo.java,??,0,1,115
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Task.java,??,0,1,37
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Type.java,??,0,1,37
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClassLoader.java,??,0,1,100
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntObject.java,??,0,1,77
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\IAntCoreConstants.java,??,1,0,39
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\InternalCoreAntMessages.java,??,0,1,33
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\AntSecurityManager.java,??,0,1,404
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InputHandlerSetter.java,??,0,1,44
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalAntMessages.java,??,0,1,33
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\ProgressBuildListener.java,??,0,2,295
plugins\org.eclipse.compare\compare\org\eclipse\compare\BufferedContent.java,??,0,1,128
plugins\org.eclipse.compare\compare\org\eclipse\compare\CompareConfiguration.java,??,0,1,445
plugins\org.eclipse.compare\compare\org\eclipse\compare\CompareEditorInput.java,??,0,1,749
plugins\org.eclipse.compare\compare\org\eclipse\compare\CompareUI.java,??,0,1,281
plugins\org.eclipse.compare\compare\org\eclipse\compare\CompareViewerPane.java,??,0,1,144
plugins\org.eclipse.compare\compare\org\eclipse\compare\CompareViewerSwitchingPane.java,??,0,1,371
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\ContentMergeViewer.java,??,0,4,978
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\DelayedProgressMonitor.java,??,0,1,146
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\IDocumentRange.java,??,1,0,54
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\IMergeViewerContentProvider.java,??,1,0,155
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\ITokenComparator.java,??,1,0,57
plugins\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\TextMergeViewer.java,??,0,5,4143
plugins\org.eclipse.compare\compare\org\eclipse\compare\EditionSelectionDialog.java,??,0,2,1126
plugins\org.eclipse.compare\compare\org\eclipse\compare\HistoryItem.java,??,0,1,83
plugins\org.eclipse.compare\compare\org\eclipse\compare\IContentChangeListener.java,??,1,0,30
plugins\org.eclipse.compare\compare\org\eclipse\compare\IContentChangeNotifier.java,??,1,0,39
plugins\org.eclipse.compare\compare\org\eclipse\compare\IEditableContent.java,??,1,0,67
plugins\org.eclipse.compare\compare\org\eclipse\compare\IModificationDate.java,??,1,0,31
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\AbstractViewer.java,??,0,1,35
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\AddFromHistoryAction.java,??,0,1,143
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\AddFromHistoryDialog.java,??,0,3,461
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\BinaryCompareViewer.java,??,0,1,128
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\BinaryCompareViewerCreator.java,??,0,1,29
plugins\org.eclipse.compare\compare\org\eclipse\compare\internal\BufferedCanvas.java,??,0,1,98
