fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.ast.NullLiteral,1,0,39,0,0,1,8,1,30,8,3.75,1,1,0.13,9,3,1.13,9,2,1.13,5,3,0.63
org.eclipse.jdt.internal.compiler.impl.CharConstant,1,0,40,0,1,0,12,1,36,3,3.0,0,0,0.0,2,1,0.17,12,1,1.0,1,1,0.08
org.eclipse.jdt.internal.core.DeletePackageFragmentRootOperation,1,0,119,1,0,0,6,2,110,41,18.33,9,3,1.5,9,3,1.5,30,8,5.0,30,8,5.0
org.eclipse.jdt.internal.core.SetClasspathOperation,1,0,644,6,0,3,19,13,575,220,30.26,42,6,2.21,18,7,0.95,148,40,7.79,151,39,7.95
org.eclipse.jdt.internal.core.DeleteResourceElementsOperation,1,0,96,0,0,0,5,0,80,46,16.0,6,3,1.2,5,2,1.0,32,15,6.4,22,12,4.4
org.eclipse.jdt.core.dom.Comment,1,0,26,0,0,0,7,1,22,4,3.14,0,0,0.0,2,1,0.29,7,1,1.0,1,1,0.14
org.eclipse.jdt.core.dom.TextElement,1,0,76,0,1,3,12,4,61,12,5.08,4,2,0.33,11,3,0.92,17,3,1.42,17,5,1.42
org.eclipse.jdt.core.dom.ConstructorInvocation,1,0,97,0,1,4,13,6,70,10,5.38,7,2,0.54,8,2,0.62,23,3,1.77,21,8,1.62
org.eclipse.jdt.core.dom.NodeSearcher,1,0,76,0,0,0,7,3,45,7,6.43,6,1,0.86,13,2,1.86,19,3,2.71,0,0,0.0
org.eclipse.jdt.internal.core.LRUCacheEnumerator,1,0,23,0,0,0,3,1,11,5,3.67,0,0,0.0,1,1,0.33,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.IPathRequestor,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,2,2,2.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.core.util.ILocalVariableAttribute,0,1,5,0,0,0,2,0,2,1,1.0,-2,-1,-1.0,0,0,0.0,2,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.IMethodBinding,0,1,22,0,0,0,19,0,19,1,1.0,-19,-1,-1.0,3,1,0.16,19,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.AbstractTypeDeclaration,1,0,69,0,2,0,16,2,62,12,3.88,1,3,0.06,4,1,0.25,19,3,1.19,14,3,0.88
