fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.lookup.MethodVerifier,1,0,699,0,0,0,41,5,623,118,15.2,49,7,1.2,63,4,1.54,302,49,7.37,190,24,4.63
org.eclipse.jdt.core.IClassFile,0,1,10,0,0,0,6,0,6,1,1.0,-6,-1,-1.0,5,3,0.83,6,1,1.0,0,0,0.0
org.eclipse.jdt.core.search.TypeNameRequestor,1,0,5,0,0,0,1,0,2,2,2.0,0,0,0.0,5,5,5.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.flow.InsideSubRoutineFlowContext,1,0,35,0,0,0,6,1,28,10,4.67,2,2,0.33,3,2,0.5,9,4,1.5,7,4,1.17
org.eclipse.jdt.internal.core.RenameElementsOperation,1,0,39,0,0,0,5,0,24,8,4.8,0,0,0.0,5,4,1.0,14,7,2.8,8,5,1.6
org.eclipse.jdt.core.dom.ThisExpression,1,0,71,0,1,2,12,3,55,12,4.58,3,2,0.25,11,3,0.92,16,3,1.33,20,6,1.67
org.eclipse.jdt.core.CompletionContext,1,0,50,0,0,5,14,5,42,3,3.0,0,0,0.0,1,1,0.07,14,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.Expression,1,0,18,0,0,0,5,0,15,3,3.0,0,0,0.0,1,1,0.2,5,1,1.0,8,2,1.6
org.eclipse.jdt.internal.compiler.ast.SuperReference,1,0,41,0,1,0,8,0,32,10,4.0,1,1,0.13,7,2,0.88,10,3,1.25,9,6,1.13
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType,1,0,20,0,0,0,2,1,14,11,7.0,1,1,0.5,4,2,2.0,3,2,1.5,2,2,1.0
org.eclipse.jdt.core.dom.MemberRef,1,0,110,0,1,3,15,5,90,21,6.0,7,3,0.47,12,3,0.8,25,5,1.67,33,8,2.2
org.eclipse.jdt.core.dom.BindingResolver,1,0,163,0,0,0,53,0,155,3,2.92,0,0,0.0,54,2,1.02,53,1,1.0,0,0,0.0
org.eclipse.jdt.internal.codeassist.complete.CompletionJavadoc,1,0,223,0,0,0,9,1,225,58,25.0,16,5,1.78,12,2,1.33,74,20,8.22,21,6,2.33
org.eclipse.jdt.core.search.FieldReferenceMatch,1,0,18,0,0,0,3,2,11,5,3.67,0,0,0.0,9,9,3.0,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnStringLiteral,1,0,30,0,0,0,5,2,21,5,4.2,0,0,0.0,14,6,2.8,5,1,1.0,3,3,0.6
org.eclipse.jdt.internal.compiler.lookup.MethodBinding,1,0,882,0,0,0,65,9,814,113,12.52,55,6,0.85,38,6,0.58,315,42,4.85,156,15,2.4
org.eclipse.jdt.internal.compiler.lookup.SyntheticMethodBinding,1,0,330,0,0,11,8,18,300,84,37.5,26,7,3.25,20,4,2.5,79,22,9.88,46,11,5.75
org.eclipse.jdt.internal.compiler.util.HashtableOfType,1,0,88,0,0,0,8,4,67,15,8.38,6,2,0.75,5,2,0.63,27,6,3.38,9,3,1.13
org.eclipse.jdt.internal.compiler.lookup.ExtraCompilerModifiers,0,1,21,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationExpression,1,0,177,0,1,6,19,10,140,15,7.37,18,3,0.95,17,3,0.89,40,4,2.11,48,12,2.53
org.eclipse.jdt.internal.compiler.impl.Constant,1,0,1365,0,20,1,34,1,2101,177,61.79,3,2,0.09,82,5,2.41,913,78,26.85,236,19,6.94
org.eclipse.jdt.internal.compiler.ast.ForeachStatement,1,0,428,0,0,7,6,22,370,163,61.67,13,6,2.17,12,3,2.0,92,38,15.33,85,28,14.17
org.eclipse.jdt.core.dom.ASTParser,1,0,489,0,1,4,24,19,430,125,17.92,24,5,1.0,33,5,1.38,100,30,4.17,83,27,3.46
org.eclipse.jdt.core.dom.EnhancedForStatement,1,0,158,0,1,4,16,7,133,30,8.31,15,3,0.94,13,3,0.81,35,7,2.19,48,12,3.0
org.eclipse.jdt.internal.core.ClassFileInfo,1,0,296,2,0,0,14,2,275,51,19.64,20,4,1.43,39,5,2.79,86,21,6.14,81,20,5.79
org.eclipse.jdt.internal.core.util.HashSetOfCharArrayArray,1,0,125,0,0,0,11,3,108,24,9.82,10,4,0.91,7,2,0.64,35,8,3.18,17,3,1.55
org.eclipse.jdt.core.jdom.IDOMMember,0,1,7,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,2,1,0.5,4,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.util.AnnotationComponent,1,0,43,0,0,0,5,4,27,15,5.4,2,2,0.4,3,3,0.6,7,3,1.4,5,5,1.0
